experiment_identifier,experiment_description,ParameterSet_id,ml_classifier_name,implementation_language,outcome_type,app_file_path,full_dataset_name,host_name,user_id,compute_manufacture,computer_name,os,system_type,cpu_gpu,cpu_gpu_model,processing_unit_speed,ram,number_of_cores_used,mean_core_percent_usage,start_date_time,end_date_time,running_time1(average sec),running_time2(sec),mean_fit_time,std_fit_time,mean_score_time,std_score_time,split_random_seed,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,combined_test_auc,std_test_auc,rank_test_auc,percent_auc_diff,rank_diff,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,feature_importance,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,4.189136028289795,0.787827,0.007156,0.05,0.006257,123.0,0.7779020000000001,0.638055,0.775885,0.7579560000000001,0.858482,0.761494,0.0,0.07084700000000001,1,0.023941,1,0.760083,0.7279939999999999,0.818554,0.770463,0.821535,0.779726,0.035787,0.894009,0.894009,0.894009,0.894009,0.898148,0.8948309999999999,0.0016510000000000001,1,0.89504,0.89504,0.89504,0.89504,0.894009,0.894834,0.000412,,0.012,0.016,239,0.0006,0.08,152,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.7,"(729, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,9.811049699783323,1.902837,0.079334,0.059373,0.006254,123.0,0.807485,0.7178399999999999,0.745406,0.774541,0.8800370000000001,0.784903,0.0,0.055992999999999994,1,0.016325,1,0.79305,0.837176,0.7753909999999999,0.818497,0.764469,0.797717,0.026887,0.894009,0.894009,0.894009,0.894009,0.898148,0.8948309999999999,0.0016510000000000001,1,0.89504,0.89504,0.89504,0.89504,0.894009,0.894834,0.000412,,0.014,0.019,461,0.001,0.09,144,relu,relu,17,glorot_uniform,0.03,binary_crossentropy,3,0.1,"(767, 726, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,18.13878536224365,3.556982,0.019247999999999998,0.070775,0.007039,123.0,0.8576870000000001,0.731735,0.8045720000000001,0.8283280000000001,0.881443,0.820652,0.0,0.051541,1,0.055371000000000004,1,0.86445,0.872324,0.8743200000000001,0.872366,0.847,0.866092,0.01013,0.920792,0.9023260000000001,0.9064040000000001,0.8855719999999999,0.906542,0.904323,0.011288,1,0.9244110000000001,0.901278,0.916877,0.9271360000000001,0.8971100000000001,0.9133620000000001,0.012119,,0.023,0.016,496,0.0001,0.05,164,relu,relu,17,he_normal,0.05,binary_crossentropy,3,0.2,"(691, 662, 615, 724, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,4.108326196670531,0.7631859999999999,0.00349,0.058478999999999996,0.006065999999999999,123.0,0.5313760000000001,0.5730609999999999,0.718512,0.421784,0.572634,0.563458,0.0,0.095283,1,0.06453099999999999,1,0.5359689999999999,0.447859,0.6571739999999999,0.441104,0.553381,0.527097,0.0792,0.894009,0.894009,0.894009,0.894009,0.898148,0.8948309999999999,0.0016510000000000001,1,0.89504,0.89504,0.89504,0.89504,0.894009,0.894834,0.000412,,0.023,0.007,472,0.0007,0.05,121,relu,relu,17,glorot_normal,0.06,binary_crossentropy,3,0.3,"(792, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,17.093232154846188,3.3467830000000003,0.073189,0.071863,0.007645999999999999,123.0,0.8753920000000001,0.751009,0.823846,0.746526,0.8776940000000001,0.814789,0.0,0.05733099999999999,1,0.22703099999999998,1,0.999943,0.999915,0.999476,0.9997590000000001,0.999762,0.999771,0.000166,0.89899,0.8888889999999999,0.925373,0.867347,0.907216,0.897547,0.019283,1,0.997423,0.997423,0.992268,0.994872,0.9948450000000001,0.995366,0.001927,,0.028,0.018,176,0.0006,0.0,104,relu,relu,17,he_uniform,0.01,binary_crossentropy,3,0.9,"(687, 686, 715, 585, 1)",sigmoid,adam
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,8.618195056915281,1.661129,0.020703,0.06251,1.2e-05,123.0,0.854101,0.762662,0.8180189999999999,0.839982,0.876757,0.830227,0.0,0.03883,1,0.028893000000000002,1,0.84386,0.8769680000000001,0.859409,0.8531639999999999,0.8376709999999999,0.8542139999999999,0.013614,0.893023,0.8888889999999999,0.9023260000000001,0.88785,0.927536,0.8998790000000001,0.014688999999999999,1,0.9052629999999999,0.926108,0.9039809999999999,0.908451,0.9073629999999999,0.910233,0.00809,,0.007,0.024,377,0.0005,0.04,132,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.6,"(614, 706, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,3.9716887474060063,0.734959,0.007398,0.059378,0.006257,123.0,0.770282,0.7523529999999999,0.755267,0.7427159999999999,0.8744139999999999,0.7788470000000001,0.0,0.048401,1,0.018975,1,0.783279,0.8242889999999999,0.7823720000000001,0.7990970000000001,0.779093,0.793626,0.016822999999999998,0.894009,0.894009,0.894009,0.8888889999999999,0.898148,0.893806,0.002935,1,0.89504,0.89504,0.89504,0.898148,0.894009,0.8954559999999999,0.0014039999999999999,,0.018,0.013,212,0.0002,0.06,136,relu,relu,17,he_normal,0.07,binary_crossentropy,3,0.5,"(676, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,17.06767439842224,3.3063589999999996,0.109574,0.107176,0.066227,123.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.894009,0.894009,0.894009,0.894009,0.898148,0.8948309999999999,0.0016510000000000001,1,0.89504,0.89504,0.89504,0.89504,0.894009,0.894834,0.000412,,0.012,0.022,289,0.0001,0.1,133,relu,relu,17,constant,0.05,binary_crossentropy,3,0.4,"(674, 623, 754, 589, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,17.54763150215149,3.438864,0.01821,0.070662,0.007024,123.0,0.8706860000000001,0.799866,0.775885,0.8552219999999999,0.885661,0.837383,0.0,0.042292,1,0.02196,1,0.8374450000000001,0.875949,0.8600030000000001,0.8588,0.8466629999999999,0.855772,0.013062,0.8971959999999999,0.9,0.8255809999999999,0.9126209999999999,0.920792,0.8911889999999999,0.03393,1,0.9067299999999999,0.915,0.7559060000000001,0.919315,0.919315,0.8832530000000001,0.06383899999999999,,0.028,0.003,323,0.0004,0.0,156,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.9,"(721, 576, 575, 602, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,18.50070309638977,3.6331330000000004,0.1139,0.067008,0.006176,123.0,0.8240700000000001,0.7514569999999999,0.81645,0.763335,0.8303659999999999,0.79708,0.0,0.032958999999999995,1,0.250743,1,0.998442,0.999207,0.997975,0.99064,0.998445,0.996942,0.003176,0.896907,0.9064040000000001,0.9268290000000001,0.824176,0.8900520000000001,0.8888719999999999,0.034669,1,0.9883270000000001,0.9897440000000001,0.9871790000000001,0.9586110000000001,0.989717,0.982716,0.01209,,0.018,0.004,456,0.0004,0.02,135,relu,relu,17,he_normal,0.04,binary_crossentropy,3,0.5,"(686, 755, 684, 556, 1)",sigmoid,adam
